Row Labels,Sum of Confirmed,Column1,,,,,,,,,,,,
Uzbekistan Average,21209,,,,,,,,,,,,,
Venezuela,15988,,,,,,,,,,,,,
Venezuela Average,15988,,,,,,,,,,,,,
Vietnam,431,,,,,,,,,,,,,
Vietnam Average,431,,,,,,,,,,,,,
West Bank and Gaza,10621,,,,,,,,,,,,,
West Bank and Gaza Average,10621,,,,,,,,,,,,,
Western Sahara,10,,,,,,,,,,,,,
Western Sahara Average,10,,,,,,,,,,,,,
Yemen,1691,,,,,,,,,,,,,
Yemen Average,1691,,,,,,,,,,,,,
Zambia,4552,,,,,,,,,,,,,
Zambia Average,4552,,,,,,,,,,,,,
Zimbabwe,2704,,,,,,,,,,,,,
Zimbabwe Average,2704,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,
(blank) Average,#DIV/0!,,,,,,,,,,,,,
Grand Total,16480485,,,,,,,,,,,,,
Grand Total Average,16480485,,,,,,,,,,,,,
Grand Average,175324.3085,,,,,,,,,,,,,
